customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,status,order_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,delivery_time,payment_sequential,payment_type,payment_installments,payment_value,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_lat,geolocation_lng
4e7b3e00288586ebd08712fdd0374a03,060e732b5b29e8181a18229c7b0b2b5e,1151.0,sao paulo,SP,Active,b2059ed67ce144a36e2aa97d2c9e9ad2,delivered,2018-05-19 16:07:45,2018-05-20 16:19:10,2018-06-11 14:31:00,2018-06-14 17:58:51,2018-06-13,3.0,1.0,credit_card,7.0,157.73,5ad6695d76ee186dc473c42706984d87,5.0,no comment,no comment,2018-06-15 00:00:00,2018-06-15 12:10:59,1151,sao paulo,SP,-23.531294001384985,-46.65640409394658
8d401266c416fe74129569742199d75f,632b9f83894a36849b293ce84d62d399,1151.0,sao paulo,SP,Active,494ccc8cd99c1f8293512733b50d1658,delivered,2018-02-09 10:47:02,2018-02-09 10:55:53,2018-02-09 21:13:43,2018-02-20 20:34:57,2018-03-05,11.0,1.0,credit_card,2.0,50.69,ba65b7401cdbc20d49ac38ea158c3cf9,5.0,no comment,no comment,2018-03-07 00:00:00,2018-03-07 09:20:00,1151,sao paulo,SP,-23.531294001384985,-46.65640409394658
4eb9eccb3b24a747f725dbee821a88b7,15f755c9f45213070f1b781ed78ea55c,1151.0,sao paulo,SP,Active,cc6888dae9988bd99a2a190a7aa98431,delivered,2018-04-05 16:30:55,2018-04-05 16:49:49,2018-04-07 00:46:41,2018-04-12 10:54:30,2018-04-26,5.0,1.0,credit_card,2.0,116.66,4bb8777bb8b3717057a13bab4426ec30,5.0,no comment,no comment,2018-04-13 00:00:00,2018-04-13 19:10:20,1151,sao paulo,SP,-23.531294001384985,-46.65640409394658
03f846ad03437d864a8d2a22976dcafe,7677c213007e9a6ec9267ea50b5ce5bc,2075.0,sao paulo,SP,Active,23656d2d2cc437bb9aa69984ee84d980,delivered,2018-02-20 11:34:50,2018-02-20 11:47:43,2018-02-21 18:29:11,2018-02-22 19:11:38,2018-03-06,1.0,1.0,credit_card,1.0,18.77,7700dd809ddf0db38ae98dce43d08aa4,5.0,no comment,no comment,2018-02-23 00:00:00,2018-02-24 01:13:24,2075,sao paulo,SP,-23.50318938022973,-46.60153910866176
c6fef243fbcf36131ef6e6fdc4d42a2f,6a68ebea4927947caaadf455351f3dda,2075.0,sao paulo,SP,Active,bae6f9f2cc261de0a62c483184fde7f4,delivered,2018-02-16 17:05:29,2018-02-16 17:15:28,2018-02-21 18:58:55,2018-03-08 18:13:23,2018-03-08,15.0,1.0,credit_card,2.0,115.05,f116ce664d375745f6444a3792d90763,2.0,no comment,no comment,2018-03-09 00:00:00,2018-03-09 22:13:14,2075,sao paulo,SP,-23.50318938022973,-46.60153910866176
b4032f13aa7eaf83f5477bab758561b3,239a5648d1a7a9fc229103be46b0f8fc,2075.0,sao paulo,SP,Active,32b699ecc034c52511737f616e721bc0,delivered,2017-03-21 09:20:40,2017-03-21 09:20:40,2017-03-29 09:05:34,2017-04-04 14:33:16,2017-04-17,6.0,1.0,credit_card,6.0,296.38,52320043ab47504d34d9ec1802a7350f,5.0,no comment,no comment,2017-04-05 00:00:00,2017-04-06 11:11:39,2075,sao paulo,SP,-23.50318938022973,-46.60153910866176
602c734d4a72768d9e0cf843f55dc8af,76fd9cf5537cafb206e3fd2b803ee013,2075.0,sao paulo,SP,Active,557fe5a8a05a2bbb733aacdf6d9b2b9e,delivered,2017-08-03 15:26:37,2017-08-03 16:50:11,2017-08-04 17:43:10,2017-08-08 17:28:05,2017-08-24,4.0,1.0,credit_card,2.0,197.9,8bb7a60d4ae8dcde628867816b7607dd,5.0,no comment,no comment,2017-08-09 00:00:00,2017-08-10 01:11:49,2075,sao paulo,SP,-23.50318938022973,-46.60153910866176
6c9a5923526346cbc0bd7bbd92269c01,cf6d4152d758efc43910e0141ae5b912,3733.0,sao paulo,SP,Active,580e2b6c3cb7687af1cb01ebeed86265,delivered,2018-08-22 11:39:32,2018-08-22 11:50:14,2018-08-22 22:07:00,2018-08-23 18:34:25,2018-08-27,1.0,1.0,credit_card,8.0,361.2,5d55dbc8dd9da839f55ea32bdf83f058,5.0,no comment,Muito bom! Entrega antes do prazo! ,2018-08-24 00:00:00,2018-08-24 22:26:24,3733,sao paulo,SP,-23.51001658673321,-46.52870721756905
3170d89b96f61be4fd054833a50a5a53,d523c182c82e9c877008febba9655e67,3733.0,sao paulo,SP,Active,747517fa441ebfa91a5cd254702353ed,delivered,2018-06-21 15:01:12,2018-06-22 03:17:18,2018-06-22 14:01:00,2018-06-26 14:36:57,2018-07-17,4.0,1.0,boleto,1.0,93.12,91e99ffe77a3b9425da6c59652995464,4.0,no comment,no comment,2018-06-27 00:00:00,2018-06-27 18:22:08,3733,sao paulo,SP,-23.51001658673321,-46.52870721756905
e312f3c85be577c566c09d776b380735,b4afb55d2d38d9bbe0b83ec108c3e77e,3733.0,sao paulo,SP,Active,c8d07bf0161cd0a2aacc163c238f397e,delivered,2017-07-10 19:37:07,2017-07-10 19:50:17,2017-07-11 16:57:41,2017-07-13 19:32:20,2017-07-28,2.0,1.0,credit_card,6.0,235.19,822f239dac4cfd170caed88728ae4f51,5.0,no comment,Produto entregue entes do prazo.,2017-07-14 00:00:00,2017-07-16 23:28:41,3733,sao paulo,SP,-23.51001658673321,-46.52870721756905
